;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:30/03/2022 at 14:57:14
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.54 (s/n:946462)

;Channel A:Details
;Name:3A
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:23.46mW             
;Max:25.20mW             
;Average:24.22mW             
;Std.Dev.:577.8uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 30/03/2022 at 14:57:15
  Timestamp   	  Channel A  	
         0.000	  2.487e-02 	
         1.056	  2.489e-02 	
         2.049	  2.493e-02 	
         3.008	  2.502e-02 	
         4.001	  2.501e-02 	
         5.056	  2.503e-02 	
         6.048	  2.502e-02 	
         7.008	  2.504e-02 	
         8.001	  2.502e-02 	
         9.056	  2.505e-02 	
        10.048	  2.503e-02 	
        11.008	  2.501e-02 	
        12.001	  2.504e-02 	
        13.056	  2.506e-02 	
        14.048	  2.508e-02 	
        15.008	  2.508e-02 	
        16.000	  2.512e-02 	
        17.056	  2.513e-02 	
        18.048	  2.514e-02 	
        19.008	  2.508e-02 	
        20.000	  2.514e-02 	
        21.056	  2.514e-02 	
        22.048	  2.515e-02 	
        23.073	  2.520e-02 	
        24.000	  2.520e-02 	
        25.056	  2.515e-02 	
        26.048	  2.515e-02 	
        27.072	  2.516e-02 	
        28.000	  2.512e-02 	
        29.057	  2.517e-02 	
        30.048	  2.514e-02 	
        31.072	  2.517e-02 	
        32.000	  2.517e-02 	
        33.056	  2.519e-02 	
        34.048	  2.517e-02 	
        35.040	  2.510e-02 	
        36.000	  2.506e-02 	
        37.056	  2.510e-02 	
        38.048	  2.506e-02 	
        39.040	  2.509e-02 	
        40.001	  2.508e-02 	
        41.057	  2.509e-02 	
        42.048	  2.503e-02 	
        43.040	  2.505e-02 	
        44.000	  2.502e-02 	
        45.056	  2.502e-02 	
        46.049	  2.500e-02 	
        47.040	  2.503e-02 	
        48.000	  2.502e-02 	
        49.056	  2.498e-02 	
        50.048	  2.491e-02 	
        51.040	  2.492e-02 	
        52.000	  2.485e-02 	
        53.056	  2.479e-02 	
        54.048	  2.470e-02 	
        55.040	  2.464e-02 	
        56.000	  2.459e-02 	
        57.056	  2.460e-02 	
        58.049	  2.450e-02 	
        59.040	  2.442e-02 	
        60.064	  2.439e-02 	
        61.056	  2.437e-02 	
        62.048	  2.432e-02 	
        63.040	  2.429e-02 	
        64.064	  2.419e-02 	
        65.056	  2.421e-02 	
        66.048	  2.419e-02 	
        67.040	  2.415e-02 	
        68.064	  2.414e-02 	
        69.057	  2.409e-02 	
        70.048	  2.407e-02 	
        71.040	  2.408e-02 	
        72.032	  2.404e-02 	
        73.056	  2.402e-02 	
        74.048	  2.402e-02 	
        75.040	  2.398e-02 	
        76.032	  2.396e-02 	
        77.056	  2.389e-02 	
        78.048	  2.390e-02 	
        79.040	  2.383e-02 	
        80.032	  2.379e-02 	
        81.056	  2.376e-02 	
        82.048	  2.373e-02 	
        83.040	  2.369e-02 	
        84.032	  2.369e-02 	
        85.056	  2.370e-02 	
        86.048	  2.367e-02 	
        87.040	  2.367e-02 	
        88.032	  2.365e-02 	
        89.056	  2.361e-02 	
        90.048	  2.361e-02 	
        91.040	  2.357e-02 	
        92.032	  2.356e-02 	
        93.056	  2.355e-02 	
        94.048	  2.351e-02 	
        95.041	  2.352e-02 	
        96.032	  2.348e-02 	
        97.056	  2.350e-02 	
        98.048	  2.347e-02 	
        99.040	  2.346e-02 	
       100.032	  2.347e-02 	
       101.056	  2.346e-02 	
       102.048	  2.349e-02 	
       103.040	  2.354e-02 	
       104.032	  2.357e-02 	
       105.056	  2.356e-02 	
       106.048	  2.357e-02 	
       107.040	  2.356e-02 	
       108.032	  2.356e-02 	
       109.024	  2.359e-02 	
       110.048	  2.362e-02 	
       111.040	  2.364e-02 	
       112.032	  2.364e-02 	
       113.024	  2.369e-02 	
       114.048	  2.373e-02 	
       115.040	  2.368e-02 	
       116.032	  2.370e-02 	
       117.023	  2.371e-02 	
       118.048	  2.371e-02 	
       119.040	  2.372e-02 	
       120.032	  2.377e-02 	
       121.024	  2.378e-02 	
       122.048	  2.379e-02 	
       123.040	  2.380e-02 	
       124.032	  2.381e-02 	
       125.024	  2.383e-02 	
       126.048	  2.383e-02 	
       127.040	  2.381e-02 	
       128.032	  2.384e-02 	
       129.024	  2.381e-02 	
       130.048	  2.381e-02 	
       131.040	  2.382e-02 	
       132.032	  2.382e-02 	
       133.024	  2.382e-02 	
       134.048	  2.387e-02 	
       135.039	  2.388e-02 	
       136.032	  2.388e-02 	
       137.024	  2.387e-02 	
       138.048	  2.393e-02 	
       139.040	  2.388e-02 	
       140.032	  2.390e-02 	
       141.023	  2.390e-02 	
       142.048	  2.386e-02 	
       143.040	  2.389e-02 	
       144.032	  2.389e-02 	
       145.024	  2.392e-02 	
       146.016	  2.393e-02 	
       147.040	  2.397e-02 	
       148.032	  2.397e-02 	
       149.024	  2.395e-02 	
       150.016	  2.395e-02 	
       151.040	  2.394e-02 	
       152.032	  2.395e-02 	
       153.024	  2.394e-02 	
       154.016	  2.394e-02 	
       155.040	  2.397e-02 	
       156.032	  2.398e-02 	
       157.024	  2.398e-02 	
       158.016	  2.394e-02 	
       159.040	  2.392e-02 	
       160.032	  2.392e-02 	
       161.024	  2.392e-02 	
       162.016	  2.395e-02 	
       163.040	  2.397e-02 	
       164.032	  2.400e-02 	
       165.023	  2.399e-02 	
       166.016	  2.397e-02 	
       167.040	  2.396e-02 	
       168.032	  2.397e-02 	
       169.024	  2.397e-02 	
       170.016	  2.398e-02 	
       171.040	  2.398e-02 	
       172.032	  2.399e-02 	
       173.024	  2.397e-02 	
       174.016	  2.395e-02 	
       175.040	  2.400e-02 	
       176.032	  2.395e-02 	
       177.024	  2.393e-02 	
       178.016	  2.397e-02 	
       179.040	  2.395e-02 	
       180.032	  2.398e-02 	
       181.024	  2.397e-02 	
       182.016	  2.397e-02 	
       183.040	  2.395e-02 	
       184.031	  2.396e-02 	
       185.024	  2.397e-02 	
