;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:30/03/2022 at 14:54:14
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.54 (s/n:946462)

;Channel A:Details
;Name:3A
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:22.16mW             
;Max:24.71mW             
;Average:23.48mW             
;Std.Dev.:967.3uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 30/03/2022 at 14:54:14
  Timestamp   	  Channel A  	
         0.000	  2.282e-02 	
         1.024	  2.283e-02 	
         2.049	  2.284e-02 	
         3.041	  2.280e-02 	
         4.033	  2.278e-02 	
         5.025	  2.282e-02 	
         6.049	  2.272e-02 	
         7.040	  2.279e-02 	
         8.032	  2.273e-02 	
         9.025	  2.281e-02 	
        10.048	  2.273e-02 	
        11.041	  2.272e-02 	
        12.033	  2.274e-02 	
        13.025	  2.278e-02 	
        14.049	  2.269e-02 	
        15.040	  2.269e-02 	
        16.033	  2.266e-02 	
        17.024	  2.261e-02 	
        18.049	  2.262e-02 	
        19.041	  2.259e-02 	
        20.032	  2.262e-02 	
        21.024	  2.261e-02 	
        22.049	  2.256e-02 	
        23.041	  2.259e-02 	
        24.033	  2.256e-02 	
        25.024	  2.255e-02 	
        26.048	  2.253e-02 	
        27.040	  2.251e-02 	
        28.032	  2.250e-02 	
        29.024	  2.249e-02 	
        30.016	  2.248e-02 	
        31.040	  2.244e-02 	
        32.033	  2.243e-02 	
        33.025	  2.244e-02 	
        34.016	  2.241e-02 	
        35.041	  2.233e-02 	
        36.033	  2.234e-02 	
        37.025	  2.231e-02 	
        38.017	  2.229e-02 	
        39.041	  2.227e-02 	
        40.033	  2.223e-02 	
        41.025	  2.223e-02 	
        42.016	  2.221e-02 	
        43.040	  2.219e-02 	
        44.033	  2.216e-02 	
        45.024	  2.216e-02 	
        46.016	  2.221e-02 	
        47.041	  2.225e-02 	
        48.033	  2.220e-02 	
        49.025	  2.216e-02 	
        50.016	  2.220e-02 	
        51.040	  2.227e-02 	
        52.033	  2.228e-02 	
        53.025	  2.231e-02 	
        54.017	  2.231e-02 	
        55.040	  2.233e-02 	
        56.032	  2.237e-02 	
        57.025	  2.235e-02 	
        58.016	  2.235e-02 	
        59.040	  2.241e-02 	
        60.033	  2.238e-02 	
        61.024	  2.243e-02 	
        62.016	  2.243e-02 	
        63.041	  2.252e-02 	
        64.032	  2.256e-02 	
        65.025	  2.260e-02 	
        66.017	  2.268e-02 	
        67.009	  2.278e-02 	
        68.032	  2.284e-02 	
        69.025	  2.289e-02 	
        70.016	  2.291e-02 	
        71.009	  2.302e-02 	
        72.033	  2.312e-02 	
        73.024	  2.313e-02 	
        74.016	  2.314e-02 	
        75.008	  2.319e-02 	
        76.033	  2.327e-02 	
        77.024	  2.325e-02 	
        78.049	  2.326e-02 	
        79.008	  2.333e-02 	
        80.032	  2.339e-02 	
        81.024	  2.343e-02 	
        82.017	  2.343e-02 	
        83.008	  2.350e-02 	
        84.032	  2.343e-02 	
        85.025	  2.354e-02 	
        86.017	  2.352e-02 	
        87.009	  2.359e-02 	
        88.033	  2.368e-02 	
        89.024	  2.370e-02 	
        90.016	  2.382e-02 	
        91.008	  2.386e-02 	
        92.033	  2.392e-02 	
        93.024	  2.403e-02 	
        94.017	  2.412e-02 	
        95.008	  2.418e-02 	
        96.033	  2.421e-02 	
        97.025	  2.427e-02 	
        98.017	  2.433e-02 	
        99.008	  2.436e-02 	
       100.032	  2.441e-02 	
       101.024	  2.443e-02 	
       102.016	  2.438e-02 	
       103.008	  2.439e-02 	
       104.000	  2.442e-02 	
       105.024	  2.446e-02 	
       106.016	  2.443e-02 	
       107.009	  2.448e-02 	
       108.000	  2.452e-02 	
       109.024	  2.451e-02 	
       110.017	  2.450e-02 	
       111.008	  2.451e-02 	
       112.000	  2.449e-02 	
       113.024	  2.452e-02 	
       114.017	  2.456e-02 	
       115.009	  2.453e-02 	
       116.001	  2.453e-02 	
       117.024	  2.457e-02 	
       118.016	  2.461e-02 	
       119.008	  2.464e-02 	
       120.000	  2.461e-02 	
       121.025	  2.462e-02 	
       122.017	  2.467e-02 	
       123.008	  2.469e-02 	
       124.001	  2.466e-02 	
       125.024	  2.466e-02 	
       126.016	  2.470e-02 	
       127.008	  2.465e-02 	
       128.000	  2.468e-02 	
       129.024	  2.471e-02 	
       130.017	  2.471e-02 	
       131.009	  2.470e-02 	
       132.000	  2.466e-02 	
       133.024	  2.460e-02 	
       134.017	  2.457e-02 	
       135.008	  2.463e-02 	
       136.000	  2.461e-02 	
       137.024	  2.460e-02 	
       138.016	  2.461e-02 	
       139.008	  2.462e-02 	
       140.000	  2.462e-02 	
       141.088	  2.461e-02 	
       142.016	  2.463e-02 	
       143.009	  2.462e-02 	
       144.000	  2.457e-02 	
       145.088	  2.455e-02 	
       146.017	  2.460e-02 	
       147.008	  2.460e-02 	
       148.001	  2.459e-02 	
       149.089	  2.462e-02 	
       150.016	  2.464e-02 	
       151.008	  2.466e-02 	
       152.000	  2.463e-02 	
       153.056	  2.463e-02 	
       154.017	  2.458e-02 	
       155.009	  2.458e-02 	
       156.000	  2.464e-02 	
       157.056	  2.466e-02 	
       158.017	  2.464e-02 	
